Team;Country;Group;Gstage vic;Rf16 vic ;Tvic1;Qf vic;Tvic2;Sf vic;Tvic3
AEK;GRE;E;0;0;0;0;0;0;0
Ajax;NED;E;3;1;4;1;5;1;6
Atlético;SPA;A;4;1;5;0;5;0;5
Barcelona;SPA;B;4;1;5;2;7;1;8
Bayern;GER;E;4;0;4;0;4;0;4
Benfica;POR;E;2;0;2;0;2;0;2
Club Brugge;BEL;A;1;0;1;0;1;0;1
Crvena;SRB;C;1;0;1;0;1;0;1
CSKA;RUS;G;2;0;2;0;2;0;2
Dortmund;GER;A;4;0;4;0;4;0;4
Galatasaray;TUR;D;1;0;1;0;1;0;1
Hoffenheim;GER;F;0;0;0;0;0;0;0
Inter;IT;B;2;0;2;0;2;0;2
Juventus;IT;H;4;1;5;0;5;0;5
Liverpool;ENG;C;3;1;4;2;6;1;7
Lokomotiv;RUS;D;1;0;1;0;1;0;1
Lyon;FRA;F;1;0;1;0;1;0;1
Man.City;ENG;F;4;2;6;1;7;0;7
Man.United;ENG;H;3;1;4;0;4;0;4
Monaco;FRA;A;0;0;0;0;0;0;0
Napoli;IT;C;2;0;2;0;2;0;2
Paris;FRA;C;3;1;4;0;4;0;4
Plezen;CZE;G;2;0;2;0;2;0;2
Porto;POR;D;5;1;6;0;6;0;6
PSV;NED;B;0;0;0;0;0;0;0
Real Madrid;SPA;G;4;1;5;0;5;0;5
Roma;IT;G;3;1;4;0;4;0;4
Schalke;GER;D;3;0;3;0;3;0;3
Shakhtar;UKR;F;1;0;1;0;1;0;1
Tottenham;ENG;B;2;2;4;1;5;1;6
Valencia;SPA;H;2;0;2;0;2;0;2
Young Boys;SUI;H;1;0;1;0;1;0;1
