;AEK;Ajax;Atlético;Barcelona;Bayern;Benfica;Club Brugge;Crvena;CSKA;Dortmund;Galatasaray;Hoffenheim;Inter;Juventus;Liverpool;Lokomotiv;Lyon;Man.City;Man.United;Monaco;Napoli;Paris;Plezen;Porto;PSV;Real Madrid;Roma;Schalke;Shakhtar;Tottenham;Valencia;Young Boys
AEK;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Ajax;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Atlético;;;;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;
Barcelona;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;1;;
Bayern;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Benfica;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Club Brugge;;;1;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;
Crvena;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;
CSKA;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;
Dortmund;;;1;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;
Galatasaray;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;1;;;;
Hoffenheim;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;;;
Inter;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;
Juventus;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1
Liverpool;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;
Lokomotiv;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;1;;;;
Lyon;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;1;;;
Man.City;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;1;;;
Man.United;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;1
Monaco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Napoli;;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;;;;
Paris;;;;;;;;1;;;;;;;1;;;;;;1;;;;;;;;;;;
Plezen;;;;;;;;;1;;;;;;;;;;;;;;;;;1;1;;;;;
Porto;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;1;;;;
PSV;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;
Real Madrid;;;;;;;;;1;;;;;;;;;;;;;;1;;;;1;;;;;
Roma;;;;;;;;;1;;;;;;;;;;;;;;1;;;1;;;;;;
Schalke;;;;;;;;;;;1;;;;;1;;;;;;;;1;;;;;;;;
Shakhtar;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;;;;;
Tottenham;;;;1;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;
Valencia;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;1
Young Boys;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;1;
